Economy,ADB Country Code,Sector,Country 2018 GDP,Scenario,as % of total GDP,in $ Mn,Employment (in 000),as % of sector GDP,as % of sector employment
United Kingdom,UKG,Transport services,2855296.732,'Additional impact under Shorter containmentsmaller demand shock',nana ,na,na,na
United Kingdom,UKG,_All,2855296.732,'Additional impact under Shorter containmentsmaller demand shock',nana ,na,na,na
Greece,GRC,'AgricultureMining and Quarrying',218031.8446,'Additional impact under Shorter containmentsmaller demand shock',nana ,na,na,na
Greece,GRC,'BusinessTradePersonaland Public Services',218031.8446,'Additional impact under Shorter containmentsmaller demand shock',nana ,na,na,na
Greece,GRC,Hotel and restaurants and Other Personal Services,218031.8446,'Additional impact under Shorter containmentsmaller demand shock',nana ,na,na,na
Greece,GRC,'Light/Heavy ManufacturingUtilitiesand Construction',218031.8446,'Additional impact under Shorter containmentsmaller demand shock',nana ,na,na,na
Greece,GRC,Transport services,218031.8446,'Additional impact under Shorter containmentsmaller demand shock',nana ,na,na,na
Greece,GRC,_All,218031.8446,'Additional impact under Shorter containmentsmaller demand shock',nana ,na,na,na
Croatia,HRV,'AgricultureMining and Quarrying',60971.69932,'Additional impact under Shorter containmentsmaller demand shock',nana ,na,na,na
Croatia,HRV,'BusinessTradePersonaland Public Services',60971.69932,'Additional impact under Shorter containmentsmaller demand shock',nana ,na,na,na
Croatia,HRV,Hotel and restaurants and Other Personal Services,60971.69932,'Additional impact under Shorter containmentsmaller demand shock',nana ,na,na,na
Croatia,HRV,'Light/Heavy ManufacturingUtilitiesand Construction',60971.69932,'Additional impact under Shorter containmentsmaller demand shock',nana ,na,na,na
Croatia,HRV,Transport services,60971.69932,'Additional impact under Shorter containmentsmaller demand shock',nana ,na,na,na
Croatia,HRV,_All,60971.69932,'Additional impact under Shorter containmentsmaller demand shock',nana ,na,na,na
Hungary,HUN,'AgricultureMining and Quarrying',157882.9128,'Additional impact under Shorter containmentsmaller demand shock',nana ,na,na,na
Hungary,HUN,'BusinessTradePersonaland Public Services',157882.9128,'Additional impact under Shorter containmentsmaller demand shock',nana ,na,na,na
Hungary,HUN,Hotel and restaurants and Other Personal Services,157882.9128,'Additional impact under Shorter containmentsmaller demand shock',nana ,na,na,na
Hungary,HUN,'Light/Heavy ManufacturingUtilitiesand Construction',157882.9128,'Additional impact under Shorter containmentsmaller demand shock',nana ,na,na,na
Hungary,HUN,Transport services,157882.9128,'Additional impact under Shorter containmentsmaller demand shock',nana ,na,na,na
Hungary,HUN,_All,157882.9128,'Additional impact under Shorter containmentsmaller demand shock',nana ,na,na,na
Indonesia,INO,'AgricultureMining and Quarrying',1042173.301,'Additional impact under Shorter containmentsmaller demand shock',-0.29,' 3,073.30 ',631,-1.36,-1.64
Indonesia,INO,'BusinessTradePersonaland Public Services',1042173.301,'Additional impact under Shorter containmentsmaller demand shock',-0.62,' 6,472.63 ',727,-1.82,-1.82
Indonesia,INO,Hotel and restaurants and Other Personal Services,1042173.301,'Additional impact under Shorter containmentsmaller demand shock',-0.10,' 1,015.30 ',307,-1.89,-1.88
Indonesia,INO,'Light/Heavy ManufacturingUtilitiesand Construction',1042173.301,'Additional impact under Shorter containmentsmaller demand shock',-0.49,' 5,073.49 ',370,-1.46,-1.48
Indonesia,INO,Transport services,1042173.301,'Additional impact under Shorter containmentsmaller demand shock',-0.10,' 1,087.35 ',103,-1.82,-1.79
Indonesia,INO,_All,1042173.301,'Additional impact under Shorter containmentsmaller demand shock',-1.60,' 16,722.07 ',2138,-1.60,-1.71
India,IND,'AgricultureMining and Quarrying',2718732.231,'Additional impact under Shorter containmentsmaller demand shock',-0.27,' 7,297.17 ',4821,-1.71,-1.79
India,IND,'BusinessTradePersonaland Public Services',2718732.231,'Additional impact under Shorter containmentsmaller demand shock',-0.91,' 24,676.60 ',2025,-1.72,-1.69
India,IND,Hotel and restaurants and Other Personal Services,2718732.231,'Additional impact under Shorter containmentsmaller demand shock',-0.07,' 1,822.03 ',452,-1.62,-1.64
India,IND,'Light/Heavy ManufacturingUtilitiesand Construction',2718732.231,'Additional impact under Shorter containmentsmaller demand shock',-0.34,' 9,187.45 ',2162,-1.55,-1.62
India,IND,Transport services,2718732.231,'Additional impact under Shorter containmentsmaller demand shock',-0.09,' 2,552.24 ',394,-1.66,-1.68
India,IND,_All,2718732.231,'Additional impact under Shorter containmentsmaller demand shock',-1.67,' 45,535.50 ',9854,-1.67,-1.72
Ireland,IRE,'AgricultureMining and Quarrying',382487.4905,'Additional impact under Shorter containmentsmaller demand shock',nana ,na,na,na
Ireland,IRE,'BusinessTradePersonaland Public Services',382487.4905,'Additional impact under Shorter containmentsmaller demand shock',nana ,na,na,na
Ireland,IRE,Hotel and restaurants and Other Personal Services,382487.4905,'Additional impact under Shorter containmentsmaller demand shock',nana ,na,na,na
Ireland,IRE,'Light/Heavy ManufacturingUtilitiesand Construction',382487.4905,'Additional impact under Shorter containmentsmaller demand shock',nana ,na,na,na
Ireland,IRE,Transport services,382487.4905,'Additional impact under Shorter containmentsmaller demand shock',nana ,na,na,na
Ireland,IRE,_All,382487.4905,'Additional impact under Shorter containmentsmaller demand shock',nana ,na,na,na
Italy,ITA,'AgricultureMining and Quarrying',2083864.26,'Additional impact under Shorter containmentsmaller demand shock',nana ,na,na,na
Italy,ITA,'BusinessTradePersonaland Public Services',2083864.26,'Additional impact under Shorter containmentsmaller demand shock',nana ,na,na,na
Italy,ITA,Hotel and restaurants and Other Personal Services,2083864.26,'Additional impact under Shorter containmentsmaller demand shock',nana ,na,na,na
Italy,ITA,'Light/Heavy ManufacturingUtilitiesand Construction',2083864.26,'Additional impact under Shorter containmentsmaller demand shock',nana ,na,na,na
Italy,ITA,Transport services,2083864.26,'Additional impact under Shorter containmentsmaller demand shock',nana ,na,na,na
Italy,ITA,_All,2083864.26,'Additional impact under Shorter containmentsmaller demand shock',nana ,na,na,na
Japan,JPN,'AgricultureMining and Quarrying',4971323.08,'Additional impact under Shorter containmentsmaller demand shock',nana ,na,na,na
Japan,JPN,'BusinessTradePersonaland Public Services',4971323.08,'Additional impact under Shorter containmentsmaller demand shock',nana ,na,na,na
Japan,JPN,Hotel and restaurants and Other Personal Services,4971323.08,'Additional impact under Shorter containmentsmaller demand shock',nana ,na,na,na
Japan,JPN,'Light/Heavy ManufacturingUtilitiesand Construction',4971323.08,'Additional impact under Shorter containmentsmaller demand shock',nana ,na,na,na
Japan,JPN,Transport services,4971323.08,'Additional impact under Shorter containmentsmaller demand shock',nana ,na,na,na
Japan,JPN,_All,4971323.08,'Additional impact under Shorter containmentsmaller demand shock',nana ,na,na,na
Republic of Korea,KOR,'AgricultureMining and Quarrying',1619423.701,'Additional impact under Shorter containmentsmaller demand shock',nana ,na,na,na
Republic of Korea,KOR,'BusinessTradePersonaland Public Services',1619423.701,'Additional impact under Shorter containmentsmaller demand shock',nana ,na,na,na
Republic of Korea,KOR,Hotel and restaurants and Other Personal Services,1619423.701,'Additional impact under Shorter containmentsmaller demand shock',nana ,na,na,na
Republic of Korea,KOR,'Light/Heavy ManufacturingUtilitiesand Construction',1619423.701,'Additional impact under Shorter containmentsmaller demand shock',nana ,na,na,na
Republic of Korea,KOR,Transport services,1619423.701,'Additional impact under Shorter containmentsmaller demand shock',nana ,na,na,na
Republic of Korea,KOR,_All,1619423.701,'Additional impact under Shorter containmentsmaller demand shock',nana ,na,na,na
Lithuania,LTU,'AgricultureMining and Quarrying',53429.06643,'Additional impact under Shorter containmentsmaller demand shock',nana ,na,na,na
Lithuania,LTU,'BusinessTradePersonaland Public Services',53429.06643,'Additional impact under Shorter containmentsmaller demand shock',nana ,na,na,na
Lithuania,LTU,Hotel and restaurants and Other Personal Services,53429.06643,'Additional impact under Shorter containmentsmaller demand shock',nana ,na,na,na
Lithuania,LTU,'Light/Heavy ManufacturingUtilitiesand Construction',53429.06643,'Additional impact under Shorter containmentsmaller demand shock',nana ,na,na,na
Lithuania,LTU,Transport services,53429.06643,'Additional impact under Shorter containmentsmaller demand shock',nana ,na,na,na
Lithuania,LTU,_All,53429.06643,'Additional impact under Shorter containmentsmaller demand shock',nana ,na,na,na
Luxembourg,LUX,'AgricultureMining and Quarrying',70885.32588,'Additional impact under Shorter containmentsmaller demand shock',nana ,na,na,na
Luxembourg,LUX,'BusinessTradePersonaland Public Services',70885.32588,'Additional impact under Shorter containmentsmaller demand shock',nana ,na,na,na
Luxembourg,LUX,Hotel and restaurants and Other Personal Services,70885.32588,'Additional impact under Shorter containmentsmaller demand shock',nana ,na,na,na
Luxembourg,LUX,'Light/Heavy ManufacturingUtilitiesand Construction',70885.32588,'Additional impact under Shorter containmentsmaller demand shock',nana ,na,na,na
Luxembourg,LUX,Transport services,70885.32588,'Additional impact under Shorter containmentsmaller demand shock',nana ,na,na,na
Luxembourg,LUX,_All,70885.32588,'Additional impact under Shorter containmentsmaller demand shock',nana ,na,na,na
Latvia,LVA,'AgricultureMining and Quarrying',34409.22918,'Additional impact under Shorter containmentsmaller demand shock',nana ,na,na,na
Latvia,LVA,'BusinessTradePersonaland Public Services',34409.22918,'Additional impact under Shorter containmentsmaller demand shock',nana ,na,na,na
Latvia,LVA,Hotel and restaurants and Other Personal Services,34409.22918,'Additional impact under Shorter containmentsmaller demand shock',nana ,na,na,na
Latvia,LVA,'Light/Heavy ManufacturingUtilitiesand Construction',34409.22918,'Additional impact under Shorter containmentsmaller demand shock',nana ,na,na,na
Latvia,LVA,Transport services,34409.22918,'Additional impact under Shorter containmentsmaller demand shock',nana ,na,na,na
Latvia,LVA,_All,34409.22918,'Additional impact under Shorter containmentsmaller demand shock',nana ,na,na,na
Mexico,MEX,'AgricultureMining and Quarrying',1220699.48,'Additional impact under Shorter containmentsmaller demand shock',nana ,na,na,na
Mexico,MEX,'BusinessTradePersonaland Public Services',1220699.48,'Additional impact under Shorter containmentsmaller demand shock',nana ,na,na,na
Mexico,MEX,Hotel and restaurants and Other Personal Services,1220699.48,'Additional impact under Shorter containmentsmaller demand shock',nana ,na,na,na
Mexico,MEX,'Light/Heavy ManufacturingUtilitiesand Construction',1220699.48,'Additional impact under Shorter containmentsmaller demand shock',nana ,na,na,na
Mexico,MEX,Transport services,1220699.48,'Additional impact under Shorter containmentsmaller demand shock',nana ,na,na,na
Mexico,MEX,_All,1220699.48,'Additional impact under Shorter containmentsmaller demand shock',nana ,na,na,na
Malta,MLT,'AgricultureMining and Quarrying',14553.42293,'Additional impact under Shorter containmentsmaller demand shock',nana ,na,na,na
Malta,MLT,'BusinessTradePersonaland Public Services',14553.42293,'Additional impact under Shorter containmentsmaller demand shock',nana ,na,na,na
Malta,MLT,Hotel and restaurants and Other Personal Services,14553.42293,'Additional impact under Shorter containmentsmaller demand shock',nana ,na,na,na
Malta,MLT,'Light/Heavy ManufacturingUtilitiesand Construction',14553.42293,'Additional impact under Shorter containmentsmaller demand shock',nana ,na,na,na
Malta,MLT,Transport services,14553.42293,'Additional impact under Shorter containmentsmaller demand shock',nana ,na,na,na
Malta,MLT,_All,14553.42293,'Additional impact under Shorter containmentsmaller demand shock',nana ,na,na,na
Netherlands,NET,'AgricultureMining and Quarrying',913658.4657,'Additional impact under Shorter containmentsmaller demand shock',nana ,na,na,na
Netherlands,NET,'BusinessTradePersonaland Public Services',913658.4657,'Additional impact under Shorter containmentsmaller demand shock',nana ,na,na,na
Netherlands,NET,Hotel and restaurants and Other Personal Services,913658.4657,'Additional impact under Shorter containmentsmaller demand shock',nana ,na,na,na
Netherlands,NET,'Light/Heavy ManufacturingUtilitiesand Construction',913658.4657,'Additional impact under Shorter containmentsmaller demand shock',nana ,na,na,na
Netherlands,NET,Transport services,913658.4657,'Additional impact under Shorter containmentsmaller demand shock',nana ,na,na,na
Netherlands,NET,_All,913658.4657,'Additional impact under Shorter containmentsmaller demand shock',nana ,na,na,na
Norway,NOR,'AgricultureMining and Quarrying',434166.6154,'Additional impact under Shorter containmentsmaller demand shock',nana ,na,na,na
Norway,NOR,'BusinessTradePersonaland Public Services',434166.6154,'Additional impact under Shorter containmentsmaller demand shock',nana ,na,na,na
Norway,NOR,Hotel and restaurants and Other Personal Services,434166.6154,'Additional impact under Shorter containmentsmaller demand shock',nana ,na,na,na
Norway,NOR,'Light/Heavy ManufacturingUtilitiesand Construction',434166.6154,'Additional impact under Shorter containmentsmaller demand shock',nana ,na,na,na
Norway,NOR,Transport services,434166.6154,'Additional impact under Shorter containmentsmaller demand shock',nana ,na,na,na
Norway,NOR,_All,434166.6154,'Additional impact under Shorter containmentsmaller demand shock',nana ,na,na,na
Poland,POL,'AgricultureMining and Quarrying',585663.8148,'Additional impact under Shorter containmentsmaller demand shock',nana ,na,na,na
Poland,POL,'BusinessTradePersonaland Public Services',585663.8148,'Additional impact under Shorter containmentsmaller demand shock',nana ,na,na,na
Poland,POL,Hotel and restaurants and Other Personal Services,585663.8148,'Additional impact under Shorter containmentsmaller demand shock',nana ,na,na,na
Poland,POL,'Light/Heavy ManufacturingUtilitiesand Construction',585663.8148,'Additional impact under Shorter containmentsmaller demand shock',nana ,na,na,na
Poland,POL,Transport services,585663.8148,'Additional impact under Shorter containmentsmaller demand shock',nana ,na,na,na
Poland,POL,_All,585663.8148,'Additional impact under Shorter containmentsmaller demand shock',nana ,na,na,na
Portugal,POR,'AgricultureMining and Quarrying',240674.5245,'Additional impact under Shorter containmentsmaller demand shock',nana ,na,na,na
Portugal,POR,'BusinessTradePersonaland Public Services',240674.5245,'Additional impact under Shorter containmentsmaller demand shock',nana ,na,na,na
Portugal,POR,Hotel and restaurants and Other Personal Services,240674.5245,'Additional impact under Shorter containmentsmaller demand shock',nana ,na,na,na
Portugal,POR,'Light/Heavy ManufacturingUtilitiesand Construction',240674.5245,'Additional impact under Shorter containmentsmaller demand shock',nana ,na,na,na
Portugal,POR,Transport services,240674.5245,'Additional impact under Shorter containmentsmaller demand shock',nana ,na,na,na
Portugal,POR,_All,240674.5245,'Additional impact under Shorter containmentsmaller demand shock',nana ,na,na,na
Romania,ROM,'AgricultureMining and Quarrying',239552.5167,'Additional impact under Shorter containmentsmaller demand shock',nana ,na,na,na
Romania,ROM,'BusinessTradePersonaland Public Services',239552.5167,'Additional impact under Shorter containmentsmaller demand shock',nana ,na,na,na
Romania,ROM,Hotel and restaurants and Other Personal Services,239552.5167,'Additional impact under Shorter containmentsmaller demand shock',nana ,na,na,na
Romania,ROM,'Light/Heavy ManufacturingUtilitiesand Construction',239552.5167,'Additional impact under Shorter containmentsmaller demand shock',nana ,na,na,na
Romania,ROM,Transport services,239552.5167,'Additional impact under Shorter containmentsmaller demand shock',nana ,na,na,na
Romania,ROM,_All,239552.5167,'Additional impact under Shorter containmentsmaller demand shock',nana ,na,na,na
Russia,RUS,'AgricultureMining and Quarrying',1657554.647,'Additional impact under Shorter containmentsmaller demand shock',nana ,na,na,na
Russia,RUS,'BusinessTradePersonaland Public Services',1657554.647,'Additional impact under Shorter containmentsmaller demand shock',nana ,na,na,na
Russia,RUS,Hotel and restaurants and Other Personal Services,1657554.647,'Additional impact under Shorter containmentsmaller demand shock',nana ,na,na,na
Russia,RUS,'Light/Heavy ManufacturingUtilitiesand Construction',1657554.647,'Additional impact under Shorter containmentsmaller demand shock',nana ,na,na,na
Russia,RUS,Transport services,1657554.647,'Additional impact under Shorter containmentsmaller demand shock',nana ,na,na,na
Russia,RUS,_All,1657554.647,'Additional impact under Shorter containmentsmaller demand shock',nana ,na,na,na
Slovak Republic,SVK,'AgricultureMining and Quarrying',105904.6322,'Additional impact under Shorter containmentsmaller demand shock',nana ,na,na,na
Slovak Republic,SVK,'BusinessTradePersonaland Public Services',105904.6322,'Additional impact under Shorter containmentsmaller demand shock',nana ,na,na,na
Slovak Republic,SVK,Hotel and restaurants and Other Personal Services,105904.6322,'Additional impact under Shorter containmentsmaller demand shock',nana ,na,na,na
Slovak Republic,SVK,'Light/Heavy ManufacturingUtilitiesand Construction',105904.6322,'Additional impact under Shorter containmentsmaller demand shock',nana ,na,na,na
Slovak Republic,SVK,Transport services,105904.6322,'Additional impact under Shorter containmentsmaller demand shock',nana ,na,na,na
Slovak Republic,SVK,_All,105904.6322,'Additional impact under Shorter containmentsmaller demand shock',nana ,na,na,na
Slovenia,SVN,'AgricultureMining and Quarrying',54007.97211,'Additional impact under Shorter containmentsmaller demand shock',nana ,na,na,na
Slovenia,SVN,'BusinessTradePersonaland Public Services',54007.97211,'Additional impact under Shorter containmentsmaller demand shock',nana ,na,na,na
Slovenia,SVN,Hotel and restaurants and Other Personal Services,54007.97211,'Additional impact under Shorter containmentsmaller demand shock',nana ,na,na,na
Slovenia,SVN,'Light/Heavy ManufacturingUtilitiesand Construction',54007.97211,'Additional impact under Shorter containmentsmaller demand shock',nana ,na,na,na
Slovenia,SVN,Transport services,54007.97211,'Additional impact under Shorter containmentsmaller demand shock',nana ,na,na,na
Slovenia,SVN,_All,54007.97211,'Additional impact under Shorter containmentsmaller demand shock',nana ,na,na,na
Sweden,SWE,'AgricultureMining and Quarrying',556086.4889,'Additional impact under Shorter containmentsmaller demand shock',nana ,na,na,na
Sweden,SWE,'BusinessTradePersonaland Public Services',556086.4889,'Additional impact under Shorter containmentsmaller demand shock',nana ,na,na,na
Sweden,SWE,Hotel and restaurants and Other Personal Services,556086.4889,'Additional impact under Shorter containmentsmaller demand shock',nana ,na,na,na
Sweden,SWE,'Light/Heavy ManufacturingUtilitiesand Construction',556086.4889,'Additional impact under Shorter containmentsmaller demand shock',nana ,na,na,na
Sweden,SWE,Transport services,556086.4889,'Additional impact under Shorter containmentsmaller demand shock',nana ,na,na,na
Sweden,SWE,_All,556086.4889,'Additional impact under Shorter containmentsmaller demand shock',nana ,na,na,na
Turkey,TUR,'AgricultureMining and Quarrying',771350.3305,'Additional impact under Shorter containmentsmaller demand shock',nana ,na,na,na
Turkey,TUR,'BusinessTradePersonaland Public Services',771350.3305,'Additional impact under Shorter containmentsmaller demand shock',nana ,na,na,na
Turkey,TUR,Hotel and restaurants and Other Personal Services,771350.3305,'Additional impact under Shorter containmentsmaller demand shock',nana ,na,na,na
Turkey,TUR,'Light/Heavy ManufacturingUtilitiesand Construction',771350.3305,'Additional impact under Shorter containmentsmaller demand shock',nana ,na,na,na
Turkey,TUR,Transport services,771350.3305,'Additional impact under Shorter containmentsmaller demand shock',nana ,na,na,na
Turkey,TUR,_All,771350.3305,'Additional impact under Shorter containmentsmaller demand shock',nana ,na,na,na
Taipei,TAP,'AgricultureMining and Quarrying',608186,'Additional impact under Shorter containmentsmaller demand shock',-0.03155.99 ,9,-1.48,-1.52
Taipei,TAP,'BusinessTradePersonaland Public Services',608186,'Additional impact under Shorter containmentsmaller demand shock',-0.78,' 4,742.68 ',73,-1.49,-1.41
Taipei,TAP,Hotel and restaurants and Other Personal Services,608186,'Additional impact under Shorter containmentsmaller demand shock',-0.11645.77 ,28,-1.57,-1.55
Taipei,TAP,'Light/Heavy ManufacturingUtilitiesand Construction',608186,'Additional impact under Shorter containmentsmaller demand shock',-0.20,' 1,245.67 ',37,-0.56,-0.83
Taipei,TAP,Transport services,608186,'Additional impact under Shorter containmentsmaller demand shock',-0.02135.09 ,3,-0.79,-0.71
Taipei,TAP,_All,608186,'Additional impact under Shorter containmentsmaller demand shock',-1.14,' 6,925.20 ',151,-1.14,-1.20
United States,USA,'AgricultureMining and Quarrying',20544343.46,'Additional impact under Shorter containmentsmaller demand shock',nana ,na,na,na
United States,USA,'BusinessTradePersonaland Public Services',20544343.46,'Additional impact under Shorter containmentsmaller demand shock',nana ,na,na,na
United States,USA,Hotel and restaurants and Other Personal Services,20544343.46,'Additional impact under Shorter containmentsmaller demand shock',nana ,na,na,na
United States,USA,'Light/Heavy ManufacturingUtilitiesand Construction',20544343.46,'Additional impact under Shorter containmentsmaller demand shock',nana ,na,na,na
United States,USA,Transport services,20544343.46,'Additional impact under Shorter containmentsmaller demand shock',nana ,na,na,na
United States,USA,_All,20544343.46,'Additional impact under Shorter containmentsmaller demand shock',nana ,na,na,na
Bangladesh,BAN,'AgricultureMining and Quarrying',274024.959,'Additional impact under Shorter containmentsmaller demand shock',-0.26725.25 ,492,-1.69,-1.70
Bangladesh,BAN,'BusinessTradePersonaland Public Services',274024.959,'Additional impact under Shorter containmentsmaller demand shock',-0.61,' 1,684.85 ',291,-1.68,-1.73
Bangladesh,BAN,Hotel and restaurants and Other Personal Services,274024.959,'Additional impact under Shorter containmentsmaller demand shock',-0.20539.72 ,55,-1.80,-1.78
Bangladesh,BAN,'Light/Heavy ManufacturingUtilitiesand Construction',274024.959,'Additional impact under Shorter containmentsmaller demand shock',-0.41,' 1,127.36 ',231,-1.45,-1.39
Bangladesh,BAN,Transport services,274024.959,'Additional impact under Shorter containmentsmaller demand shock',-0.15405.10 ,82,-1.75,-1.75
Bangladesh,BAN,_All,274024.959,'Additional impact under Shorter containmentsmaller demand shock',-1.64,' 4,482.27 ',1151,-1.64,-1.64
Malaysia,MAL,'AgricultureMining and Quarrying',358581.9434,'Additional impact under Shorter containmentsmaller demand shock',-0.13460.81 ,20,-0.78,-1.04
Malaysia,MAL,'BusinessTradePersonaland Public Services',358581.9434,'Additional impact under Shorter containmentsmaller demand shock',-0.60,' 2,164.62 ',134,-1.31,-1.31
Malaysia,MAL,Hotel and restaurants and Other Personal Services,358581.9434,'Additional impact under Shorter containmentsmaller demand shock',-0.08291.82 ,18,-1.56,-1.55
Malaysia,MAL,'Light/Heavy ManufacturingUtilitiesand Construction',358581.9434,'Additional impact under Shorter containmentsmaller demand shock',-0.22775.19 ,33,-0.75,-0.85
Malaysia,MAL,Transport services,358581.9434,'Additional impact under Shorter containmentsmaller demand shock',-0.03121.28 ,6,-0.96,-0.97
Malaysia,MAL,_All,358581.9434,'Additional impact under Shorter containmentsmaller demand shock',-1.06,' 3,813.73 ',212,-1.06,-1.19
Philippines,PHI,'AgricultureMining and Quarrying',330910.3436,'Additional impact under Shorter containmentsmaller demand shock',-0.16514.30 ,185,-1.54,-1.55
Philippines,PHI,'BusinessTradePersonaland Public Services',330910.3436,'Additional impact under Shorter containmentsmaller demand shock',-0.83,' 2,745.59 ',334,-1.59,-1.60
Philippines,PHI,Hotel and restaurants and Other Personal Services,330910.3436,'Additional impact under Shorter containmentsmaller demand shock',-0.06186.15 ,28,-1.36,-1.33
Philippines,PHI,'Light/Heavy ManufacturingUtilitiesand Construction',330910.3436,'Additional impact under Shorter containmentsmaller demand shock',-0.44,' 1,459.58 ',114,-1.47,-1.51
Philippines,PHI,Transport services,330910.3436,'Additional impact under Shorter containmentsmaller demand shock',-0.06187.02 ,20,-1.58,-1.60
Philippines,PHI,_All,330910.3436,'Additional impact under Shorter containmentsmaller demand shock',-1.54,' 5,092.64 ',682,-1.54,-1.56
Thailand,THA,'AgricultureMining and Quarrying',504992.7577,'Additional impact under Shorter containmentsmaller demand shock',-0.08394.34 ,175,-0.97,-0.97
Thailand,THA,'BusinessTradePersonaland Public Services',504992.7577,'Additional impact under Shorter containmentsmaller demand shock',-0.58,' 2,941.30 ',183,-1.25,-1.25
Thailand,THA,Hotel and restaurants and Other Personal Services,504992.7577,'Additional impact under Shorter containmentsmaller demand shock',-0.17857.80 ,22,-1.28,-1.24
Thailand,THA,'Light/Heavy ManufacturingUtilitiesand Construction',504992.7577,'Additional impact under Shorter containmentsmaller demand shock',-0.29,' 1,479.77 ',90,-1.02,-1.10
Thailand,THA,Transport services,504992.7577,'Additional impact under Shorter containmentsmaller demand shock',-0.03149.15 ,19,-0.92,-0.90
Thailand,THA,_All,504992.7577,'Additional impact under Shorter containmentsmaller demand shock',-1.15,' 5,822.36 ',490,-1.15,-1.09
Viet Nam,VIE,'AgricultureMining and Quarrying',245213.6864,'Additional impact under Shorter containmentsmaller demand shock',-0.13319.47 ,247,-0.83,-0.95
Viet Nam,VIE,'BusinessTradePersonaland Public Services',245213.6864,'Additional impact under Shorter containmentsmaller demand shock',-0.46,' 1,128.90 ',157,-1.37,-1.60
Viet Nam,VIE,Hotel and restaurants and Other Personal Services,245213.6864,'Additional impact under Shorter containmentsmaller demand shock',-0.06152.29 ,37,-1.31,-1.30
Viet Nam,VIE,'Light/Heavy ManufacturingUtilitiesand Construction',245213.6864,'Additional impact under Shorter containmentsmaller demand shock',-0.37916.51 ,147,-0.88,-1.08
Viet Nam,VIE,Transport services,245213.6864,'Additional impact under Shorter containmentsmaller demand shock',-0.0368.91 ,12,-0.82,-0.89
Viet Nam,VIE,_All,245213.6864,'Additional impact under Shorter containmentsmaller demand shock',-1.05,' 2,586.09 ',600,-1.05,-1.12
Kazakhstan,KAZ,'AgricultureMining and Quarrying',179339.9949,'Additional impact under Shorter containmentsmaller demand shock',-0.14248.26 ,108,-0.64,-1.82
Kazakhstan,KAZ,'BusinessTradePersonaland Public Services',179339.9949,'Additional impact under Shorter containmentsmaller demand shock',-0.71,' 1,271.15 ',46,-1.59,-1.73
Kazakhstan,KAZ,Hotel and restaurants and Other Personal Services,179339.9949,'Additional impact under Shorter containmentsmaller demand shock',-0.08142.87 ,5,-1.99,-1.98
Kazakhstan,KAZ,'Light/Heavy ManufacturingUtilitiesand Construction',179339.9949,'Additional impact under Shorter containmentsmaller demand shock',-0.29526.55 ,28,-1.40,-1.56
Kazakhstan,KAZ,Transport services,179339.9949,'Additional impact under Shorter containmentsmaller demand shock',-0.12211.28 ,4,-1.35,-1.29
Kazakhstan,KAZ,_All,179339.9949,'Additional impact under Shorter containmentsmaller demand shock',-1.34,' 2,400.11 ',190,-1.34,-1.74
Mongolia,MON,'AgricultureMining and Quarrying',13066.74914,'Additional impact under Shorter containmentsmaller demand shock',-0.2228.41 ,5,-0.56,-1.27
Mongolia,MON,'BusinessTradePersonaland Public Services',13066.74914,'Additional impact under Shorter containmentsmaller demand shock',-0.5065.20 ,6,-1.34,-1.34
Mongolia,MON,Hotel and restaurants and Other Personal Services,13066.74914,'Additional impact under Shorter containmentsmaller demand shock',-0.034.04 ,1,-1.34,-1.30
Mongolia,MON,'Light/Heavy ManufacturingUtilitiesand Construction',13066.74914,'Additional impact under Shorter containmentsmaller demand shock',-0.2228.12 ,3,-1.32,-1.38
Mongolia,MON,Transport services,13066.74914,'Additional impact under Shorter containmentsmaller demand shock',-0.067.47 ,1,-1.09,-1.05
Mongolia,MON,_All,13066.74914,'Additional impact under Shorter containmentsmaller demand shock',-1.02133.24 ,16,-1.02,-1.31
Sri Lanka,SRI,'AgricultureMining and Quarrying',88900.77086,'Additional impact under Shorter containmentsmaller demand shock',-0.18158.00 ,41,-1.51,-1.57
Sri Lanka,SRI,'BusinessTradePersonaland Public Services',88900.77086,'Additional impact under Shorter containmentsmaller demand shock',-0.72637.49 ,57,-1.90,-1.91
Sri Lanka,SRI,Hotel and restaurants and Other Personal Services,88900.77086,'Additional impact under Shorter containmentsmaller demand shock',-0.25226.47 ,9,-2.02,-1.87
Sri Lanka,SRI,'Light/Heavy ManufacturingUtilitiesand Construction',88900.77086,'Additional impact under Shorter containmentsmaller demand shock',-0.42369.99 ,31,-1.57,-1.46
Sri Lanka,SRI,Transport services,88900.77086,'Additional impact under Shorter containmentsmaller demand shock',-0.19165.48 ,8,-1.64,-1.64
Sri Lanka,SRI,_All,88900.77086,'Additional impact under Shorter containmentsmaller demand shock',-1.75,' 1,557.43 ',145,-1.75,-1.68
Pakistan,PAK,'AgricultureMining and Quarrying',314588.2105,'Additional impact under Shorter containmentsmaller demand shock',-0.51,' 1,589.72 ',584,-1.89,-1.88
Pakistan,PAK,'BusinessTradePersonaland Public Services',314588.2105,'Additional impact under Shorter containmentsmaller demand shock',-0.86,' 2,707.04 ',331,-2.03,-2.05
Pakistan,PAK,Hotel and restaurants and Other Personal Services,314588.2105,'Additional impact under Shorter containmentsmaller demand shock',-0.09291.28 ,31,-2.09,-2.09
